"CÓDIGO";"PRODUCTO";"CATEGORÍA";"Unidad de medida";"Cantidad x pres.";"Peso X presentación";"MINORISTA                   Precio x presentación";"MINORISTA         Precio Unitario";"MAYORISTA                   Precio x presentación";"MAYORISTA         Precio Unitario3";"DISTRIBUIDOR                   Precio x presentación";"DISTRIBUIDOR         Precio Unitario3";;
"SLTAE1";"Arveja entera x 1 kg";"S A L V E   L A   T I E R R A  ";"KG";1;1,00;" $3.198,00 ";" $3.198,00 ";" $2.665,00 ";" $2.665,00 ";" $2.132,00 ";" $2.132,00 ";;
"SLTAE25";"Arveja entera x 25 kg ";"S A L V E   L A   T I E R R A  ";"BOLSÓN";25;25,00;" $71.340,00 ";" $2.853,60 ";" $59.450,00 ";" $2.378,00 ";" $47.560,00 ";" $1.902,40 ";;
"SLTAP1";"Arveja partida x 1 kg ";"S A L V E   L A   T I E R R A  ";"KG";1;1,00;" $3.324,75 ";" $3.324,75 ";" $2.770,63 ";" $2.770,63 ";" $2.216,50 ";" $2.216,50 ";;
"SLTAP25";"Arveja partida x 25 kg ";"S A L V E   L A   T I E R R A  ";"BOLSÓN";25;25,00;" $74.167,50 ";" $2.966,70 ";" $61.806,25 ";" $2.472,25 ";" $49.445,00 ";" $1.977,80 ";;
"SLTAA1";"Avena arrollada x 1 kg";"S A L V E   L A   T I E R R A  ";"KG";1;1,00;" $4.933,50 ";" $4.933,50 ";" $4.111,25 ";" $4.111,25 ";" $3.289,00 ";" $3.289,00 ";;
"SLTAA20";"Avena arrollada x 20 kg ";"S A L V E   L A   T I E R R A  ";"BOLSÓN";20;20,00;" $88.044,00 ";" $4.402,20 ";" $73.370,00 ";" $3.668,50 ";" $58.696,00 ";" $2.934,80 ";;
"SLTG1";"Garbanzo x 1 kg ";"S A L V E   L A   T I E R R A  ";"KG";1;1,00;" $3.861,00 ";" $3.861,00 ";" $3.217,50 ";" $3.217,50 ";" $2.574,00 ";" $2.574,00 ";;
"SLTG25";"Garbanzo x 25 kg ";"S A L V E   L A   T I E R R A  ";"BOLSÓN";25;25,00;" $86.130,00 ";" $3.445,20 ";" $71.775,00 ";" $2.871,00 ";" $57.420,00 ";" $2.296,80 ";;
"SLTL1";"Lenteja x 1 kg";"S A L V E   L A   T I E R R A  ";"KG";1;1,00;" $4.906,20 ";" $4.906,20 ";" $4.088,50 ";" $4.088,50 ";" $3.270,80 ";" $3.270,80 ";;
"SLTL25";"Lenteja x 25 kg ";"S A L V E   L A   T I E R R A  ";"BOLSÓN";25;25,00;" $109.446,00 ";" $4.377,84 ";" $91.205,00 ";" $3.648,20 ";" $72.964,00 ";" $2.918,56 ";;
"SLTM1";"Mijo pelado x 1 kg";"S A L V E   L A   T I E R R A  ";"KG";1;1,00;" $3.946,80 ";" $3.946,80 ";" $3.289,00 ";" $3.289,00 ";" $2.631,20 ";" $2.631,20 ";;
"SLTM25";"Mijo pelado x 25 kg";"S A L V E   L A   T I E R R A  ";"BOLSÓN";25;25,00;" $88.044,00 ";" $3.521,76 ";" $73.370,00 ";" $2.934,80 ";" $58.696,00 ";" $2.347,84 ";;
"SLTHG5";"Harina de garbanzo x 5 kg.";"S A L V E   L A   T I E R R A  ";"KG";5;5,00;" $20.047,50 ";" $4.009,50 ";" $16.706,25 ";" $3.341,25 ";" $13.365,00 ";" $2.673,00 ";;
"SLTHG25";"Harina de garbanzo x 25 kg ";"S A L V E   L A   T I E R R A  ";"BOLSÓN";25;25,00;" $89.100,00 ";" $3.564,00 ";" $74.250,00 ";" $2.970,00 ";" $59.400,00 ";" $2.376,00 ";;
